subjects	S	picture	R	rt
1	negative	ingroup	negative	0.483480169411451
1	negative	outgroup	positive	0.633333532147849
1	negative	outgroup	negative	0.417005308680475
1	negative	outgroup	negative	0.431707563602923
1	positive	ingroup	positive	0.742131078525008
1	negative	ingroup	negative	0.48545070875536
1	positive	outgroup	positive	0.769780857933553
1	positive	outgroup	positive	0.553410569001107
1	positive	ingroup	positive	0.665703664792968
1	positive	ingroup	positive	0.452100760361042
1	positive	ingroup	positive	0.476845180157864
1	positive	ingroup	positive	0.575476184446562
1	positive	outgroup	positive	0.567931401551518
1	negative	ingroup	negative	0.638979885762962
1	negative	ingroup	negative	0.544137014776909
1	negative	ingroup	positive	0.458633356281508
1	negative	ingroup	positive	0.458488148071471
1	positive	ingroup	positive	0.720071868275643
1	positive	outgroup	negative	0.938749504367517
1	negative	ingroup	positive	0.451366852211161
1	negative	outgroup	negative	0.43526059100783
1	positive	outgroup	positive	1.12030317327593
1	positive	outgroup	negative	0.695682044268668
1	positive	ingroup	negative	0.624054009655269
1	negative	ingroup	negative	0.417396010050643
1	positive	outgroup	positive	0.642079659579005
1	positive	outgroup	negative	1.18087888451462
1	positive	outgroup	positive	0.66644027698429
1	positive	ingroup	positive	0.46734897594837
1	negative	outgroup	negative	0.556804305525409
1	positive	ingroup	positive	0.468991413381304
1	positive	ingroup	negative	0.556622468211478
1	positive	outgroup	negative	0.613317232024938
1	positive	ingroup	negative	0.569774706278681
1	positive	outgroup	positive	1.254194255913
1	negative	outgroup	negative	0.474718263005089
1	negative	outgroup	negative	0.412602782985035
1	negative	outgroup	negative	0.424047120878561
1	positive	outgroup	negative	0.430536297592664
1	negative	ingroup	positive	0.602618771932926
1	negative	ingroup	positive	0.447863222386676
1	negative	ingroup	positive	0.51398894343725
1	positive	outgroup	positive	0.488318605378349
1	negative	outgroup	negative	1.34053559730666
1	positive	ingroup	positive	0.433365606414151
1	negative	outgroup	negative	0.523381032562723
1	positive	outgroup	negative	0.78562697076587
1	positive	ingroup	positive	0.522599057566051
1	negative	outgroup	negative	0.545785924917217
1	positive	outgroup	positive	0.786881963150235
1	positive	ingroup	positive	0.451696600071324
1	negative	outgroup	positive	0.982273530993168
1	negative	ingroup	negative	1.06611436211246
1	positive	outgroup	negative	0.8932622628107
1	positive	outgroup	negative	0.452856790095476
1	positive	outgroup	positive	0.561033638135035
1	negative	ingroup	negative	0.674068538581972
1	positive	ingroup	positive	0.412247787320401
1	negative	ingroup	negative	1.61664892221091
1	positive	ingroup	positive	0.42334909508467
1	positive	outgroup	negative	0.542556608899579
1	positive	ingroup	positive	0.494422183404692
1	negative	outgroup	negative	0.481814253055439
1	negative	outgroup	negative	0.403870568535157
1	positive	outgroup	negative	0.662577344800044
1	positive	ingroup	positive	0.49207077168561
1	negative	ingroup	negative	0.880597738699048
1	negative	outgroup	negative	0.544455558436118
1	positive	outgroup	negative	0.495682295095519
1	negative	outgroup	negative	0.751633939602381
1	negative	outgroup	negative	0.555445980771485
1	negative	outgroup	negative	0.396523616966615
1	positive	ingroup	positive	0.622420704123277
1	positive	ingroup	negative	0.642228792415489
1	negative	outgroup	negative	0.951077510760317
1	positive	outgroup	negative	0.807998438201596
1	positive	outgroup	negative	0.414438117421322
1	positive	outgroup	positive	0.755821043848947
1	negative	outgroup	negative	0.478473712690848
1	negative	ingroup	negative	0.859151400145185
1	negative	outgroup	negative	0.433030871290955
1	positive	outgroup	positive	1.26042851247975
1	positive	ingroup	positive	0.427356731402549
1	negative	ingroup	negative	0.819547881433215
1	positive	outgroup	positive	0.934314524889424
1	negative	ingroup	negative	0.831464004195005
1	negative	outgroup	negative	0.786988707999066
1	positive	outgroup	negative	0.598964636026472
1	positive	outgroup	positive	0.539202084074485
1	negative	outgroup	negative	0.684089424548105
1	positive	ingroup	positive	1.1175339220167
1	negative	ingroup	negative	1.45174243182836
1	negative	ingroup	positive	0.414757081426859
1	positive	ingroup	positive	0.451095461046662
1	positive	outgroup	positive	0.422509138452663
1	negative	ingroup	negative	0.502132071664172
1	negative	ingroup	negative	1.03535490372613
1	negative	outgroup	negative	1.03133841295231
1	negative	outgroup	negative	0.451287110773511
1	negative	outgroup	negative	0.648560209791009
1	negative	ingroup	negative	0.736004797988472
1	positive	ingroup	positive	0.429003866326026
1	negative	outgroup	negative	0.40195098150639
1	positive	outgroup	positive	0.591945981359561
1	positive	outgroup	negative	0.521923253953657
1	positive	ingroup	negative	0.569381778531997
1	negative	ingroup	positive	0.480384196339272
1	negative	outgroup	negative	0.489962712480878
1	negative	ingroup	positive	0.56822885740172
1	positive	outgroup	positive	0.906100775295524
1	positive	outgroup	positive	0.615924897468369
1	positive	outgroup	negative	0.402676421020579
1	positive	outgroup	negative	0.981345266931571
1	positive	outgroup	positive	0.640262915750646
1	negative	outgroup	negative	0.520437747130726
1	positive	ingroup	positive	0.451398193905432
1	positive	outgroup	positive	1.10408995884849
1	positive	ingroup	positive	0.455190409899072
1	negative	outgroup	positive	0.490730454732444
1	positive	ingroup	positive	0.425956792082325
1	positive	outgroup	negative	0.413510494372731
1	negative	outgroup	negative	0.47465141928821
1	positive	outgroup	positive	0.620621232115465
1	negative	outgroup	negative	0.430458123405857
1	positive	outgroup	negative	0.642386814373457
1	negative	ingroup	positive	0.391517775669678
1	positive	ingroup	positive	0.679472804580612
1	negative	ingroup	positive	0.629821640623051
1	positive	ingroup	positive	1.48144330994699
1	positive	outgroup	positive	0.573258464151964
1	positive	outgroup	positive	0.74428797204625
1	positive	ingroup	positive	0.675966091142594
